timestring,FLOW.OF.ALGAE,FLOW.OF.CO2,PAR.1,PAR.2,PRESSURE,SPEED,SUM.OF.WATER,TEMPERATURE,THICKNESS.OF.ALGAE,TURBIDITY,VOLUME.IN.TANK,pCO2,pH,pO2,TURBIDITY.diff
17.06.2024 23:30:00.000,13.337963,0.342013881,0,1.736111,13.475693,80.294837,4488.127,18.773146,5.4652286,2.9555948,55.033654,4.8217552,3.098266,9.977505,-0.0035424
17.06.2024 23:40:00.000,13.656248,0.213831008,0,1.736111,13.638889,81.005285,4488.6376,18.686339,5.6641754,2.9414151,51.959175,4.9995187,3.0931706,10.0222928,-0.0141797
17.06.2024 23:50:00.000,13.787037,0.187210648,0,1.736111,13.725693,81.306649,4490.1998,18.616897,5.5827952,2.9338355,51.867626,5.1832971,3.0868546,10.034707,-0.0075796
18.06.2024 00:00:00.000,13.396992,0.374999996,0,1.736111,13.519097,80.377702,4490.33,18.573496,5.5485028,2.8945432,55.467207,4.7127798,3.0810475,10.057607,-0.0392923
18.06.2024 00:10:00.000,13.427661,0.097800929,0,1.736111,13.55382,80.516631,4490.33,18.564814,5.4810318,2.8760374,55.12034,5.2602199,3.0850877,10.049791,-0.0185058
18.06.2024 00:20:00.000,13.39641,0.309027767,0,1.736111,13.522571,80.27262,4490.33,18.57639,5.7852659,2.891546,55.014377,4.893734,3.0792027,10.036702,0.0155086
18.06.2024 00:30:00.000,13.440393,0.254629622,0,1.736111,13.44618,80.523056,4490.33,18.550345,5.5037752,2.8627923,54.857985,4.9188667,3.0740344,10.054289,-0.0287537
18.06.2024 00:40:00.000,13.628471,0.153356483,0,1.736111,13.625001,81.080208,4490.33,18.51852,5.4748367,2.8870657,52.851347,5.2308768,3.0745473,10.06146,0.0242734
18.06.2024 00:50:00.000,13.591436,0.362268516,0,1.736111,13.633682,80.920612,4491.931,18.512732,5.6560365,2.8518534,54.071113,4.7323411,3.071815,10.072623,-0.0352123
18.06.2024 01:00:00.000,13.447337,0.130208326,0,1.736111,13.489583,80.515423,4491.931,18.466435,5.5502657,2.8212225,55.612322,5.192142,3.0665252,10.086031,-0.0306309
18.06.2024 01:10:00.000,13.677662,0.294849527,0,1.736111,13.657986,81.10375,4491.931,18.408564,5.5889058,2.8490058,53.178356,4.945004,3.0790321,10.100107,0.0277833
18.06.2024 01:20:00.000,13.679975,0.288483787,0,1.736111,13.684027,81.244253,4492.2518,18.344906,5.4622782,2.8127113,53.757968,4.8646603,3.0776434,10.142496,-0.0362945
18.06.2024 01:30:00.000,13.542244,0.133391203,0,1.736111,13.611111,80.783284,4492.332,18.255211,5.526984,2.7965661,55.140095,5.2563703,3.0854781,10.163719,-0.0161452
18.06.2024 01:40:00.000,13.564814,0.40335647,0,1.736111,13.588542,80.757034,4492.332,18.168403,5.6617875,2.7922305,54.684718,4.7134943,3.0834007,10.197852,-0.0043356
18.06.2024 01:50:00.000,13.469327,0.11834491,0,1.736111,13.451389,80.366666,4492.332,18.087387,5.8271178,2.7697297,55.199629,5.1873992,3.0758081,10.230253,-0.0225008
18.06.2024 02:00:00.000,13.589698,0.293113427,0,1.736111,13.68403,80.893377,4492.332,18.00347,5.5159872,2.7842699,54.285367,4.9744864,3.0840695,10.254208,0.0145402
18.06.2024 02:10:00.000,13.482061,0.294849517,0,1.736111,13.538194,80.630074,4492.332,17.922451,5.6016248,2.7619371,54.80943,4.8504003,3.0849731,10.301465,-0.0223328
18.06.2024 02:20:00.000,13.357639,0.134259265,0,1.736111,13.498263,80.45159,4492.332,17.844327,5.4975536,2.7585392,55.892149,5.2879248,3.0762704,10.308804,-0.0033979
18.06.2024 02:30:00.000,13.373843,0.40219907,0,1.736111,13.531249,80.249048,4492.332,17.76331,5.4946018,2.7455724,55.750348,4.6983598,3.0754234,10.342942,-0.0129668
18.06.2024 02:40:00.000,13.631367,0.10677084,0,1.736111,13.685764,81.013103,4492.362,17.682291,5.6661832,2.7387949,52.696233,5.2287352,3.0827378,10.380191,-0.0067775
18.06.2024 02:50:00.000,13.62442,0.311631938,0,1.736111,13.670138,80.971926,4492.632,17.62442,5.5953842,2.7424779,53.22906,4.9051123,3.075052,10.404301,0.003683
18.06.2024 03:00:00.000,13.543403,0.252604162,0,1.736111,13.578125,80.709713,4492.632,17.54919,5.6766448,2.6994798,53.957639,4.9232775,3.0709846,10.432836,-0.0429981
18.06.2024 03:10:00.000,13.541089,0.156249993,0,1.736111,13.682292,80.834825,4492.7221,17.479746,5.3468537,2.6975078,54.029226,5.2361481,3.0808415,10.440495,-0.001972
18.06.2024 03:20:00.000,13.698495,0.361689806,0,1.736111,13.800346,81.220716,4494.333,17.430556,5.4139079,2.6575188,54.353883,4.7241984,3.0765578,10.480352,-0.039989
18.06.2024 03:30:00.000,13.489583,0.089409729,0,1.736111,13.586806,80.581158,4494.333,17.375581,5.7521682,2.6311282,55.726472,5.2724689,3.0759397,10.489391,-0.0263906
18.06.2024 03:40:00.000,13.155093,0.344328691,0,1.736111,13.388889,79.554774,4494.333,17.326391,5.7166358,2.617294,59.454337,4.8124066,3.0813237,10.487014,-0.0138342
18.06.2024 03:50:00.000,13.241898,0.192708328,0,1.736111,13.411458,79.831983,4494.333,17.282989,5.6596569,2.5943734,58.733447,5.0614196,3.0928552,10.509084,-0.0229206
18.06.2024 04:00:00.000,13.09317,0.210358798,0,1.736111,13.36632,79.520899,4494.333,17.2309,5.4427849,2.603922,59.65789,5.1361093,3.0836708,10.472666,0.0095486
18.06.2024 04:10:00.000,13.339119,0.296585657,0,3.5590276,13.541667,80.137164,4494.333,17.193286,5.6161815,2.5912941,57.09847,4.7746907,3.0842401,10.47325,-0.0126279
18.06.2024 04:20:00.000,13.2147,0.095196759,0,4.8611111,13.406251,79.811789,4494.333,17.146988,5.4797382,2.5325475,58.519094,5.3245874,3.0852935,10.470352,-0.0587466
18.06.2024 04:30:00.000,13.186342,0.38368055,0,8.2465282,13.395835,79.619191,4494.333,17.103587,5.6066921,2.4459126,58.483469,4.6809929,3.0791859,10.526734,-0.0866349
18.06.2024 04:40:00.000,13.368056,0.098958329,0,13.368056,13.503472,80.064891,4494.333,17.05729,5.6515417,2.3620096,56.836586,5.2258838,3.0937463,10.614224,-0.083903
18.06.2024 04:50:00.000,13.328124,0.340856471,0,20.48611,13.557291,79.868894,4494.333,17.039927,5.8742148,2.3182462,56.543783,4.8190625,3.0890708,10.676231,-0.0437634
18.06.2024 05:00:00.000,13.314815,0.219907398,0,27.34375,13.506943,80.030527,4494.333,17.031248,5.5954971,2.2426837,56.529365,4.9632361,3.0884556,10.718585,-0.0755625
18.06.2024 05:10:00.000,13.555554,0.232638892,0,42.013892,13.706597,80.708995,4494.333,17.060183,5.4814441,2.2196309,54.418402,5.1206069,3.0835277,10.724807,-0.0230528
18.06.2024 05:20:00.000,13.231482,0.364293981,0,55.555559,13.395833,79.729319,4494.333,17.158563,5.5522911,2.1437508,57.388121,4.7194112,3.0843919,10.722259,-0.0758801
18.06.2024 05:30:00.000,13.627315,0.122685183,0,67.881946,13.680555,80.92343,4494.333,17.320603,5.5806327,2.1390167,53.191096,5.2832823,3.0807261,10.679328,-0.0047341
18.06.2024 05:40:00.000,13.662037,0.43402778,0,79.34028,13.774306,80.980631,4494.333,17.546296,5.5106214,2.1368379,52.933393,4.7208351,3.084289,10.601754,-0.0021788
18.06.2024 05:50:00.000,13.323494,0.166377315,0,98.350701,13.477432,80.055642,4494.333,17.835647,5.6041063,2.1167802,56.341979,5.1394827,3.0884681,10.495308,-0.0200577
18.06.2024 06:00:00.000,13.21933,0.271990742,0,119.35764,13.347223,79.757171,4494.333,18.200233,5.5657725,2.1657582,57.191059,5.0676263,3.0911113,10.34599,0.048978
18.06.2024 06:10:00.000,12.859953,0.328124997,0.60763892,142.53472,13.123264,78.848435,4494.333,18.634258,5.5949019,2.1893354,60.194138,4.7966022,3.0985149,10.177894,0.0235772
